config_path,experiment_name,model_type,trainable_params,total_params,frozen_params,status
experiments\autoencoders\phase1\phase1_1_AE_S10_ch2_ds3.yaml,phase1_1_AE_S10_ch2_ds3,Autoencoder,768209.0,768209.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S11_ch8_ds6.yaml,phase1_1_AE_S11_ch8_ds6,Autoencoder,49379415.0,49379415.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S12_ch4_ds2.yaml,phase1_1_AE_S12_ch4_ds2,Autoencoder,189331.0,189331.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S1_ch16_ds4.yaml,phase1_1_AE_S1_ch16_ds4,Autoencoder,3119455.0,3119455.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S2_ch8_ds3.yaml,phase1_1_AE_S2_ch8_ds3,Autoencoder,775895.0,775895.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S3_ch4_ds3.yaml,phase1_1_AE_S3_ch4_ds3,Autoencoder,770771.0,770771.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S4_ch8_ds4.yaml,phase1_1_AE_S4_ch8_ds4,Autoencoder,3098967.0,3098967.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S5_ch16_ds5.yaml,phase1_1_AE_S5_ch16_ds5,Autoencoder,12406367.0,12406367.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S6_ch32_ds4.yaml,phase1_1_AE_S6_ch32_ds4,Autoencoder,3160431.0,3160431.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S7_ch4_ds4.yaml,phase1_1_AE_S7_ch4_ds4,Autoencoder,3088723.0,3088723.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S8_ch8_ds5.yaml,phase1_1_AE_S8_ch8_ds5,Autoencoder,12365399.0,12365399.0,0.0,success
experiments\autoencoders\phase1\phase1_1_AE_S9_ch16_ds3.yaml,phase1_1_AE_S9_ch16_ds3,Autoencoder,786143.0,786143.0,0.0,success
experiments\autoencoders\phase1\phase1_2_AE_V1_deterministic.yaml,phase1_2_AE_V1_deterministic,Autoencoder,3119455.0,3119455.0,0.0,success
experiments\autoencoders\phase1\phase1_2_AE_V2_vae_light.yaml,phase1_2_AE_V2_vae_light,Autoencoder,3123567.0,3123567.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F1_rgb_only.yaml,phase1_3_AE_F1_rgb_only,Autoencoder,3119455.0,3119455.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F1_rgb_only_vae.yaml,phase1_3_AE_F1_rgb_only_vae,Autoencoder,3123567.0,3123567.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F2_rgb_seg.yaml,phase1_3_AE_F2_rgb_seg,Autoencoder,3119455.0,3119455.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F2_rgb_seg_vae.yaml,phase1_3_AE_F2_rgb_seg_vae,Autoencoder,3123567.0,3123567.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F3_rgb_seg_cls.yaml,phase1_3_AE_F3_rgb_seg_cls,Autoencoder,3119455.0,3119455.0,0.0,success
experiments\autoencoders\phase1\phase1_3_AE_F3_rgb_seg_cls_vae.yaml,phase1_3_AE_F3_rgb_seg_cls_vae,Autoencoder,3123567.0,3123567.0,0.0,success
experiments\autoencoders\phase1\phase1_5_AE_final.yaml,phase1_5_AE_final,Autoencoder,3119421.0,3119421.0,0.0,success
experiments\autoencoders\phase1\phase1_6_AE_normalized.yaml,phase1_6_AE_normalized,Autoencoder,3119421.0,3119421.0,0.0,success
experiments\controlnet\ablation\controlnet_unet128_d3.yaml,controlnet_ablation_capacity_unet128_d3,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet128_d4.yaml,controlnet_ablation_capacity_unet128_d4,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet128_d5_rb3.yaml,controlnet_ablation_capacity_unet128_d5_rb3,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet256_d4.yaml,controlnet_ablation_capacity_unet256_d4,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet256_d4_rb3.yaml,controlnet_ablation_capacity_unet256_d4_rb3,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet32_d3.yaml,controlnet_ablation_capacity_unet32_d3,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet32_d3_attn.yaml,controlnet_ablation_capacity_unet32_d3_attn,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet48_d3.yaml,controlnet_ablation_capacity_unet48_d3,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet48_d4.yaml,controlnet_ablation_capacity_unet48_d4,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet64_d4.yaml,controlnet_ablation_capacity_unet64_d4,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet64_d4_attn.yaml,controlnet_ablation_capacity_unet64_d4_attn,Diffusion,,,,failed_to_build
experiments\controlnet\ablation\controlnet_unet64_d5.yaml,controlnet_ablation_capacity_unet64_d5,Diffusion,,,,failed_to_build
experiments\diffusion\ablation\capacity_unet128_d3.yaml,diffusion_ablation_capacity_unet128_d3,Diffusion,44785072.0,44785072.0,0.0,success
experiments\diffusion\ablation\capacity_unet128_d4.yaml,diffusion_ablation_capacity_unet128_d4,Diffusion,180154288.0,180154288.0,0.0,success
experiments\diffusion\ablation\capacity_unet128_d5_rb3.yaml,diffusion_ablation_capacity_unet128_d5_rb3,Diffusion,922578096.0,922578096.0,0.0,success
experiments\diffusion\ablation\capacity_unet256_d4.yaml,diffusion_ablation_capacity_unet256_d4,Diffusion,718002864.0,718002864.0,0.0,success
experiments\diffusion\ablation\capacity_unet256_d4_rb3.yaml,diffusion_ablation_capacity_unet256_d4_rb3,Diffusion,922988848.0,922988848.0,0.0,success
experiments\diffusion\ablation\capacity_unet32_d3.yaml,diffusion_ablation_capacity_unet32_d3,Diffusion,2970352.0,2970352.0,0.0,success
