eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
0,0,accumulation,N/A,0,0.2771714778329054,0.06148463023907331,,0.1764705882352941,0.0
0,0,accumulation,N/A,1,0.4554770160453038,0.07093741074550053,,0.6666666666666667,0.25
0,0,accumulation,N/A,2,0.4370024452612459,0.06629349588217898,,0.5294117647058824,0.25
0,0,accumulation,N/A,3,0.392750108116912,0.07989447293026145,,0.33333333333333337,0.0
0,0,accumulation,N/A,4,0.3345407273550585,0.2657988620203242,,0.29090909090909095,0.0
0,0,accumulation,N/A,5,0.44014868433662463,0.09276715906778789,,0.3428571428571429,0.4
0,0,accumulation,N/A,6,0.3348876251799383,0.08002529171218438,,0.3243243243243243,0.0
0,0,accumulation,N/A,7,0.4030469591250932,0.25971855936143046,,0.42105263157894735,0.2
0,0,refinement,0.5,0,0.2771714778329054,0.06148463023907331,,0.1764705882352941,0.0
0,0,refinement,0.5,1,0.30534800047175303,0.060535888866152694,,0.15384615384615383,0.2
0,0,refinement,0.5,2,0.3274776750733924,0.03682761797373786,,0.39999999999999997,0.0
0,0,refinement,0.5,3,0.34711474682805893,0.06625615702819444,,0.25,0.25
0,0,refinement,0.5,4,0.3412633304509589,0.06018636702208386,,0.21428571428571427,0.0
0,0,refinement,0.5,5,0.3529595966531286,0.06475683786917658,,0.25,0.25
0,0,refinement,0.5,6,0.3501293231893274,0.060514219253815255,,0.2608695652173913,0.25
0,0,refinement,0.5,7,0.392810283373395,0.049456135438032206,,0.33333333333333337,0.25
0,0,refinement,0.8,0,0.2771714778329054,0.06148463023907331,,0.1764705882352941,0.0
0,0,refinement,0.8,1,0.28290728690063005,0.1085868613943326,,0.17142857142857146,0.0
0,0,refinement,0.8,2,0.2905968498388977,0.08622453659603581,,0.21428571428571427,0.0
0,0,refinement,0.8,3,0.32996984266392815,0.08286104847572115,,0.27272727272727276,0.0
0,0,refinement,0.8,4,0.3907080744270472,0.1629277855045374,,0.2758620689655173,0.25
0,0,refinement,0.8,5,0.3550888568845527,0.06468950276243099,,0.3125,0.2
0,0,refinement,0.8,6,0.3490789461793897,0.10967873951299374,,0.14285714285714288,0.0
0,0,refinement,0.8,7,0.34763605564332895,0.06874747503237141,,0.2380952380952381,0.0
1,1,accumulation,N/A,0,0.34393003525418464,0.027568527622793885,,0.4,0.5
1,1,accumulation,N/A,1,0.4756726649264513,0.0915716703818805,,0.6666666666666666,0.0
1,1,accumulation,N/A,2,0.33398978098888,0.007623815565204426,,0.3636363636363636,0.0
1,1,accumulation,N/A,3,0.6725031159807231,0.35757113896130227,,0.5,1.0
1,1,accumulation,N/A,4,0.293314492436752,0.16613900610502513,,0.2666666666666667,0.3333333333333333
1,1,accumulation,N/A,5,0.4267210080691769,0.4457958003932315,,0.6666666666666666,0.0
1,1,accumulation,N/A,6,0.40538498698426517,0.24182981789349786,,0.4,0.0
1,1,accumulation,N/A,7,0.690632162523952,0.1823654450433829,,1.0,1.0
1,1,refinement,0.5,0,0.34393003525418464,0.027568527622793885,,0.4,0.5
1,1,refinement,0.5,1,0.5093187613397252,0.027568527622793885,,0.5,1.0
1,1,refinement,0.5,2,0.5095946311157171,0.027568527622793885,,0.5,1.0
1,1,refinement,0.5,3,0.5094885915001625,0.027568527622793885,,0.5,1.0
1,1,refinement,0.5,4,0.5095801192460794,0.027568527622793885,,0.5,1.0
1,1,refinement,0.5,5,0.5093046279745944,0.027500146423981936,,0.5,1.0
1,1,refinement,0.5,6,0.3444897406484836,0.028299422847456714,,0.4,0.5
1,1,refinement,0.5,7,0.23935376361548777,0.028299422847456714,,0.2,0.25
1,1,refinement,0.8,0,0.34393003525418464,0.027568527622793885,,0.4,0.5
