eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
0,0,accumulation,N/A,0,0.24506422404448705,0.04404363108141523,,0.1592920353982301,0.0
0,0,accumulation,N/A,1,0.3644643691105655,0.08004661595974281,,0.18823529411764706,0.2
0,0,accumulation,N/A,2,0.3114501551661998,0.15223599071694618,,0.30000000000000004,0.0
0,0,accumulation,N/A,3,0.21572125934346342,0.0005248629837688849,,0.11764705882352941,0.0
0,0,accumulation,N/A,4,0.3135736394223485,0.06436007261378943,,0.26666666666666666,0.0
0,0,accumulation,N/A,5,0.3961052064483117,0.05098950803094925,,0.29090909090909095,0.2
0,0,accumulation,N/A,6,0.33022005443504143,0.12091043790449671,,0.17821782178217824,0.0
0,0,accumulation,N/A,7,0.22260332121802948,0.006327170556835639,,0.12903225806451613,0.0
0,0,refinement,0.5,0,0.24506422404448705,0.04404363108141523,,0.1592920353982301,0.0
0,0,refinement,0.5,1,0.2390578598330678,0.04482444600054575,,0.17647058823529413,0.0
0,0,refinement,0.5,2,0.27092446547348203,0.04983783858268004,,0.2727272727272727,0.125
0,0,refinement,0.5,3,0.26316798392123675,0.05192697903863202,,0.2903225806451613,0.0
0,0,refinement,0.5,4,0.26798541265812365,0.05281827452605541,,0.32142857142857145,0.0
0,0,refinement,0.5,5,0.27264247564400473,0.053561059482572726,,0.2647058823529412,0.0
0,0,refinement,0.5,6,0.2649946374961414,0.05598509383004031,,0.24000000000000002,0.0
0,0,refinement,0.5,7,0.2608228001264351,0.05421086820440792,,0.2195121951219512,0.0
0,0,refinement,0.8,0,0.24506422404448705,0.04404363108141523,,0.1592920353982301,0.0
0,0,refinement,0.8,1,0.25299071272175505,0.06261877295446766,,0.20930232558139536,0.0
0,0,refinement,0.8,2,0.28095608664450583,0.04930636532189402,,0.24000000000000002,0.0
0,0,refinement,0.8,3,0.30175052225234056,0.051077282058837326,,0.23376623376623376,0.0
0,0,refinement,0.8,4,0.30708269474244365,0.0684244380413003,,0.21686746987951808,0.16666666666666666
0,0,refinement,0.8,5,0.27787325236823285,0.07749297745676961,,0.2465753424657534,0.0
0,0,refinement,0.8,6,0.24720374650265253,0.02078102368428444,,0.17777777777777778,0.0
0,0,refinement,0.8,7,0.2599148237024495,0.02323042970191235,,0.19718309859154928,0.0
1,1,accumulation,N/A,0,0.1939658250422422,0.019804066806247658,,0.017543859649122806,0.0
1,1,accumulation,N/A,1,0.11211119972756559,0.0,,0.0909090909090909,0.0
1,1,accumulation,N/A,2,0.08548731879452333,0.0,,0.04545454545454545,0.0
1,1,accumulation,N/A,3,0.17585748862114245,0.03090446704997781,,0.0392156862745098,0.0
1,1,accumulation,N/A,4,0.17042990942412423,0.0,,0.06349206349206349,0.0
1,1,accumulation,N/A,5,0.2516566225493303,0.3528415874136056,,0.125,0.0
1,1,accumulation,N/A,6,0.2218382392845667,0.002317712772105943,,0.04938271604938272,0.0
1,1,accumulation,N/A,7,0.24550918199601632,0.09263732863396323,,0.08333333333333333,0.0
1,1,refinement,0.5,0,0.1939658250422422,0.019804066806247658,,0.017543859649122806,0.0
1,1,refinement,0.5,1,0.19459309305682565,0.029240325118980545,,0.024539877300613494,0.0
1,1,refinement,0.5,2,0.1946768132652203,0.03473464052287577,,0.027027027027027025,0.0
1,1,refinement,0.5,3,0.19589231686787462,0.034811148541648636,,0.027972027972027972,0.0
1,1,refinement,0.5,4,0.1956274469154015,0.03580698354729912,,0.029411764705882353,0.0
1,1,refinement,0.5,5,0.19478161134890437,0.034557422969187596,,0.029411764705882353,0.0
1,1,refinement,0.5,6,0.19508657123278103,0.03588655462184867,,0.032,0.0
1,1,refinement,0.5,7,0.20152064023718919,0.0372985719900432,,0.03418803418803419,0.0
1,1,refinement,0.8,0,0.1939658250422422,0.019804066806247658,,0.017543859649122806,0.0
