eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
0,0,accumulation,N/A,0,0.32486290152125546,0.34858338323211485,,0.3333333333333333,0.0
0,0,accumulation,N/A,1,0.41724343988198187,0.0668100198076456,,0.5185185185185185,0.5
0,0,accumulation,N/A,2,0.49646102586592467,0.1510654763513569,,0.6363636363636364,0.6
0,0,accumulation,N/A,3,0.4130993874203701,0.10108696107401388,,0.5333333333333333,0.2
0,0,accumulation,N/A,4,0.36332488084115255,0.2256483673912975,,0.24000000000000002,0.0
0,0,accumulation,N/A,5,0.4498396426874184,0.06832828079557086,,0.4571428571428572,0.25
0,0,accumulation,N/A,6,0.42674099044757285,0.24510865419241049,,0.43478260869565216,0.2
0,0,accumulation,N/A,7,0.3395433821026377,0.16667626752350964,,0.3076923076923077,0.0
0,0,refinement,0.5,0,0.32486290152125546,0.34858338323211485,,0.3333333333333333,0.0
0,0,refinement,0.5,1,0.31772982186947996,0.3323578021920054,,0.30769230769230765,0.0
0,0,refinement,0.5,2,0.3180541907134235,0.3548300160112381,,0.2857142857142857,0.0
0,0,refinement,0.5,3,0.32507225003089524,0.3505904750497799,,0.3333333333333333,0.0
0,0,refinement,0.5,4,0.37416551062065284,0.23983984308745432,,0.42857142857142855,0.25
0,0,refinement,0.5,5,0.32417788188292607,0.33591241814474804,,0.3333333333333333,0.0
0,0,refinement,0.5,6,0.3700411136121392,0.23817444662129003,,0.4,0.25
0,0,refinement,0.5,7,0.32903210332844707,0.3826308121479155,,0.3333333333333333,0.0
0,0,refinement,0.8,0,0.32486290152125546,0.34858338323211485,,0.3333333333333333,0.0
0,0,refinement,0.8,1,0.31417278453545494,0.3005025598484246,,0.3333333333333333,0.0
0,0,refinement,0.8,2,0.33615738779397497,0.09591349283626238,,0.28571428571428575,0.0
0,0,refinement,0.8,3,0.3778325835951374,0.14830528024449305,,0.4444444444444444,0.0
0,0,refinement,0.8,4,0.37706883332850527,0.1598539832817216,,0.4210526315789474,0.0
0,0,refinement,0.8,5,0.3387363157449534,0.24304863526542175,,0.3157894736842105,0.0
0,0,refinement,0.8,6,0.31659380371405055,0.2362638783675796,,0.3333333333333333,0.0
0,0,refinement,0.8,7,0.4288177138065314,0.278633608532144,,0.3157894736842105,0.25
1,1,accumulation,N/A,0,0.5102287540982667,0.25227417474664127,,0.6666666666666666,0.0
1,1,accumulation,N/A,1,0.4942957456946965,0.1718956481645389,,0.6666666666666666,0.0
1,1,accumulation,N/A,2,0.3759718278752792,0.24732539075264576,,0.3076923076923077,0.2
1,1,accumulation,N/A,3,0.4965621631906899,0.467565834943163,,0.3333333333333333,0.5
1,1,accumulation,N/A,4,0.3825267127840219,0.3514579887830033,,0.5714285714285715,0.0
1,1,accumulation,N/A,5,0.40323872082193046,0.3693367260235575,,0.5714285714285715,0.0
1,1,accumulation,N/A,6,0.2621229120658791,0.04596873549976796,,0.05555555555555555,0.0
1,1,accumulation,N/A,7,0.36340316312836346,0.1586140075069805,,0.4,0.0
1,1,refinement,0.5,0,0.5102287540982667,0.25227417474664127,,0.6666666666666666,0.0
1,1,refinement,0.5,1,0.5088415960033968,0.243702435229332,,0.6666666666666666,0.0
1,1,refinement,0.5,2,0.5091469994098308,0.24454800428516502,,0.6666666666666666,0.0
1,1,refinement,0.5,3,0.5087375076838359,0.24491678211034426,,0.6666666666666666,0.0
1,1,refinement,0.5,4,0.50866148332956,0.24491678211034426,,0.6666666666666666,0.0
1,1,refinement,0.5,5,0.5079311010778479,0.23867806528428231,,0.6666666666666666,0.0
1,1,refinement,0.5,6,0.5079335517529187,0.23867806528428231,,0.6666666666666666,0.0
1,1,refinement,0.5,7,0.5073382492787193,0.23831487012718172,,0.6666666666666666,0.0
1,1,refinement,0.8,0,0.5102287540982667,0.25227417474664127,,0.6666666666666666,0.0
1,1,refinement,0.8,1,0.5068306374414415,0.25417254692395397,,0.6666666666666666,0.0
1,1,refinement,0.8,2,0.5073451756070412,0.242803184205378,,0.6666666666666666,0.0
1,1,refinement,0.8,3,0.4899156319565089,0.06953346172870681,,0.6666666666666666,0.0
1,1,refinement,0.8,4,0.4904438884924257,0.06682119222468277,,0.6666666666666666,0.0
1,1,refinement,0.8,5,0.3553992768475909,0.10526689317451597,,0.4,0.0
1,1,refinement,0.8,6,0.4980287123238586,0.0771532913444929,,0.6666666666666666,0.0
1,1,refinement,0.8,7,0.4103861201887317,0.0,,0.4,0.5
2,2,accumulation,N/A,0,0.30300476165984414,0.5578766714194979,,0.05714285714285715,0.0
2,2,accumulation,N/A,1,0.4030387868640716,0.43672146963936065,,0.4,0.0
2,2,accumulation,N/A,2,0.3580549255245068,0.44827727775902404,,0.28571428571428575,0.0
2,2,accumulation,N/A,3,0.3400874039988643,0.2582846472713937,,0.4,0.0
2,2,accumulation,N/A,4,0.3564378587977903,0.1998187416377664,,0.27272727272727276,0.25
2,2,accumulation,N/A,5,0.28726020819920206,0.31784558989281686,,0.30769230769230765,0.0
2,2,accumulation,N/A,6,0.3667145206708867,0.15840729911013582,,0.4285714285714285,0.25
2,2,accumulation,N/A,7,0.35293219027124606,0.3254942780921191,,0.4444444444444445,0.25
2,2,refinement,0.5,0,0.30300476165984414,0.5578766714194979,,0.05714285714285715,0.0
2,2,refinement,0.5,1,0.32490275973768246,0.5681588254727784,,0.25,0.0
2,2,refinement,0.5,2,0.30487157601128745,0.1340731145009051,,0.5,0.0
2,2,refinement,0.5,3,0.2760948312214563,0.11867724234616463,,0.36363636363636365,0.0
2,2,refinement,0.5,4,0.26677809360585003,0.1186814523205092,,0.30769230769230765,0.0
2,2,refinement,0.5,5,0.3032073298284534,0.11873272862113644,,0.5,0.0
2,2,refinement,0.5,6,0.30328707569813657,0.11895690384676505,,0.5,0.0
2,2,refinement,0.5,7,0.36562199602504386,0.11846697961505599,,0.6666666666666666,0.0
2,2,refinement,0.8,0,0.30300476165984414,0.5578766714194979,,0.05714285714285715,0.0
2,2,refinement,0.8,1,0.27933464295081556,0.07804178978748536,,0.5,0.0
2,2,refinement,0.8,2,0.3034205125864854,0.07073654732931746,,0.39999999999999997,0.2
2,2,refinement,0.8,3,0.2488450442505497,0.17599971103379045,,0.30769230769230765,0.0
2,2,refinement,0.8,4,0.323056752426106,0.5844439458121219,,0.22222222222222224,0.0
2,2,refinement,0.8,5,0.36706378616821544,0.12336768602761886,,0.6666666666666666,0.0
2,2,refinement,0.8,6,0.33188965194906744,0.11134395226985444,,0.4444444444444445,0.25
2,2,refinement,0.8,7,0.28275044208736444,0.11519862769635555,,0.28571428571428575,0.16666666666666666
3,3,accumulation,N/A,0,0.3174540624592802,0.005403555426839954,,0.375,0.0
3,3,accumulation,N/A,1,0.2243957342445544,0.06807625221463783,,0.11764705882352941,0.0
3,3,accumulation,N/A,2,0.2523916364290901,0.06148134026299993,,0.21818181818181817,0.0
3,3,accumulation,N/A,3,0.34957323868788515,0.06284267498921702,,0.38095238095238093,0.0
3,3,accumulation,N/A,4,0.2431015260764915,0.08499728614615386,,0.22429906542056074,0.0
3,3,accumulation,N/A,5,0.2279154094131491,0.07905281992089898,,0.1857142857142857,0.14285714285714285
3,3,accumulation,N/A,6,0.159629256193637,0.0,,0.12903225806451615,0.0
3,3,accumulation,N/A,7,0.2380523420122766,0.0,,0.5,0.0
3,3,refinement,0.5,0,0.3174540624592802,0.005403555426839954,,0.375,0.0
3,3,refinement,0.5,1,0.22223055373137457,0.005405654223220722,,0.09195402298850576,0.0
3,3,refinement,0.5,2,0.21336794092435762,0.05899692435067611,,0.11764705882352941,0.0
3,3,refinement,0.5,3,0.22534433214028787,0.03877850655530877,,0.125,0.0
3,3,refinement,0.5,4,0.23925957310532153,0.025338612624182758,,0.25,0.0
3,3,refinement,0.5,5,0.23271921810346102,0.019702310469685243,,0.25,0.0
3,3,refinement,0.5,6,0.2246041890107977,0.03971548033688638,,0.11764705882352941,0.0
3,3,refinement,0.5,7,0.2504991185950834,0.03971548033688638,,0.125,0.0
3,3,refinement,0.8,0,0.3174540624592802,0.005403555426839954,,0.375,0.0
3,3,refinement,0.8,1,0.2795750032588824,0.010642560745903964,,0.375,0.0
3,3,refinement,0.8,2,0.25369568855318886,0.060756639825255726,,0.13333333333333333,0.0
3,3,refinement,0.8,3,0.25090006888955607,0.04134082437184583,,0.13333333333333333,0.0
3,3,refinement,0.8,4,0.2930041296109508,0.012520081575481632,,0.4761904761904762,0.0
3,3,refinement,0.8,5,0.1963134865625497,0.007141157144097705,,0.20253164556962025,0.0
3,3,refinement,0.8,6,0.25196217475368066,0.05151346864255685,,0.13333333333333333,0.0
3,3,refinement,0.8,7,0.2827107930063631,0.014947018902326484,,0.36363636363636365,0.0
4,4,accumulation,N/A,0,0.4841643432925856,0.42350341017007626,,0.125,0.3333333333333333
4,4,accumulation,N/A,1,0.3965790732915786,0.19901616093016794,,0.30769230769230765,0.3333333333333333
4,4,accumulation,N/A,2,0.35631324023392164,0.15077940727902675,,0.26666666666666666,0.0
4,4,accumulation,N/A,3,0.4345732665499825,0.7132007534780185,,0.18181818181818182,0.0
4,4,accumulation,N/A,4,0.4855162154550311,0.5531830186842509,,0.16666666666666669,0.5
4,4,accumulation,N/A,5,0.41856594673180814,0.6551498014688111,,0.15384615384615383,0.0
4,4,accumulation,N/A,6,0.4316549565839033,0.22960764464664968,,0.33333333333333337,0.5
4,4,accumulation,N/A,7,0.41692576506751505,0.5751698130352804,,0.18181818181818182,0.0
4,4,refinement,0.5,0,0.4841643432925856,0.42350341017007626,,0.125,0.3333333333333333
4,4,refinement,0.5,1,0.5652227387388782,0.4360467419290947,,0.15384615384615383,0.5
4,4,refinement,0.5,2,0.5650287777540184,0.43316635186553865,,0.15384615384615383,0.5
4,4,refinement,0.5,3,0.49296448605793497,0.44454687276637267,,0.16666666666666669,0.5
4,4,refinement,0.5,4,0.49296287269590594,0.44105338064247196,,0.16666666666666669,0.5
4,4,refinement,0.5,5,0.4891626802355366,0.4401209210639463,,0.14285714285714288,0.3333333333333333
4,4,refinement,0.5,6,0.4925775787223933,0.44279323618741273,,0.16666666666666669,0.5
4,4,refinement,0.5,7,0.52655276889494,0.21857512669007462,,0.30769230769230765,0.5
4,4,refinement,0.8,0,0.4841643432925856,0.42350341017007626,,0.125,0.3333333333333333
4,4,refinement,0.8,1,0.49280034596977573,0.4363875497854783,,0.16666666666666669,0.5
4,4,refinement,0.8,2,0.5663142537505212,0.420613412005226,,0.15384615384615383,0.5
4,4,refinement,0.8,3,0.4482098823429743,0.5074398691389659,,0.15384615384615383,0.3333333333333333
4,4,refinement,0.8,4,0.44872255548485107,0.5063835810332622,,0.15384615384615383,0.3333333333333333
4,4,refinement,0.8,5,0.5016604037490726,0.4944491725768317,,0.16666666666666669,0.5
4,4,refinement,0.8,6,0.41568599759827995,0.4507969241757966,,0.18181818181818182,0.0
4,4,refinement,0.8,7,0.4171709026024478,0.4536576315658934,,0.18181818181818182,0.0
5,5,accumulation,N/A,0,0.3349633174478216,0.03986916910047212,,0.47058823529411753,0.0
5,5,accumulation,N/A,1,0.3412898836891048,0.013876989905307488,,0.6333333333333334,0.0
5,5,accumulation,N/A,2,0.41574354050215095,0.07468157891359772,,0.6000000000000001,0.25
5,5,accumulation,N/A,3,0.3999306926912931,0.06555136061622144,,0.5151515151515151,0.25
5,5,accumulation,N/A,4,0.35535370395869803,0.03573214182074725,,0.5609756097560976,0.125
5,5,accumulation,N/A,5,0.37901430726020185,0.12839315061239634,,0.44000000000000006,0.125
5,5,accumulation,N/A,6,0.3406869828166885,0.005409995895321964,,0.41935483870967744,0.0
5,5,accumulation,N/A,7,0.42626664070658027,0.03333445123430316,,0.5542168674698795,0.25
5,5,refinement,0.5,0,0.3349633174478216,0.03986916910047212,,0.47058823529411753,0.0
